year;trial;climate;genotype;Ptot_>20;Ptot_20-25;Ptot_>25;Ptot_25-30;Ptot_>30;Ptot_<5;P300_>20;P300_20-25;P300_>25;P300_25-30;P300_>30;P300_<5;P600_>20;P600_20-25;P600_>25;P600_25-30;P600_>30;P600_<5;P1000_>20;P1000_20-25;P1000_>25;P1000_25-30;P1000_>30;P1000_<5;Pharv_>20;Pharv_20-25;Pharv_>25;Pharv_25-30;Pharvt_>30;harvest_<5;seed_yield;seed_nb;PMG;lipids;proteins
2011;LR11;océanique;Aviso;40;34;6;4;2;3;10;10;0;0;0;3;14;13;1;1;0;0;10;8;2;2;0;0;7;4;3;1;2;0;40.4;95386;4.23;51.4;16.4
2011;LR11;océanique;Aviso;40;34;6;4;2;3;10;10;0;0;0;3;14;13;1;1;0;0;10;8;2;2;0;0;7;4;3;1;2;0;37.8;84953;4.45;50.8;17.9
2011;LR11;océanique;Aviso;40;34;6;4;2;3;10;10;0;0;0;3;14;13;1;1;0;0;10;8;2;2;0;0;7;4;3;1;2;0;41;92816;4.42;51.1;17.7
2011;LR11;océanique;Montego;40;34;6;4;2;3;7;7;0;0;0;3;15;14;1;1;0;0;12;10;2;2;0;0;8;5;3;1;2;0;55.1;140813;3.91;51.8;17.1
2011;LR11;océanique;Montego;40;34;6;4;2;3;7;7;0;0;0;3;15;14;1;1;0;0;12;10;2;2;0;0;8;5;3;1;2;0;39.1;96437;4.05;52.1;16.7
2011;LR11;océanique;Montego;40;34;6;4;2;3;7;7;0;0;0;3;15;14;1;1;0;0;12;10;2;2;0;0;8;5;3;1;2;0;43.4;101070;4.29;51.7;17.4
2011;MD11;méditerranéen;Aviso;51;34;17;16;1;3;8;4;4;4;0;2;16;16;0;0;0;1;19;8;11;10;1;0;10;7;3;2;1;0;25.6;84213;3.04;42.29;23.54
2011;MD11;méditerranéen;Aviso;51;34;17;16;1;3;8;4;4;4;0;2;16;16;0;0;0;1;19;8;11;10;1;0;10;7;3;2;1;0;27;93070;2.9;41.79;23.83
2011;MD11;méditerranéen;Aviso;51;34;17;16;1;3;8;4;4;4;0;2;16;16;0;0;0;1;19;8;11;10;1;0;10;7;3;2;1;0;28.5;113687;2.51;40.64;24.6
2011;MD11;méditerranéen;Aviso;51;34;17;16;1;3;8;4;4;4;0;2;16;16;0;0;0;1;19;8;11;10;1;0;10;7;3;2;1;0;26.4;87849;3;41.96;23.17
2011;MD11;méditerranéen;Aviso;51;34;17;16;1;3;8;4;4;4;0;2;16;16;0;0;0;1;19;8;11;10;1;0;10;7;3;2;1;0;28.1;97586;2.87;42.01;22.94
2011;MD11;méditerranéen;Aviso;51;34;17;16;1;3;8;4;4;4;0;2;16;16;0;0;0;1;19;8;11;10;1;0;10;7;3;2;1;0;25.3;83573;3.03;42.77;22.99
2011;MD11;méditerranéen;Montego;51;34;17;16;1;5;7;3;4;4;0;3;15;15;0;0;0;2;19;10;9;9;0;0;12;7;5;4;1;0;29.3;104919;2.79;43.5;22.69
2011;MD11;méditerranéen;Montego;51;34;17;16;1;5;7;3;4;4;0;3;15;15;0;0;0;2;19;10;9;9;0;0;12;7;5;4;1;0;31.2;108616;2.87;42.27;24.07
2011;MD11;méditerranéen;Montego;51;34;17;16;1;5;7;3;4;4;0;3;15;15;0;0;0;2;19;10;9;9;0;0;12;7;5;4;1;0;34.1;123339;2.77;44.15;22.04
2011;MD11;méditerranéen;Montego;51;34;17;16;1;5;7;3;4;4;0;3;15;15;0;0;0;2;19;10;9;9;0;0;12;7;5;4;1;0;26.2;100106;2.61;41.43;25.23
2011;MD11;méditerranéen;Montego;51;34;17;16;1;5;7;3;4;4;0;3;15;15;0;0;0;2;19;10;9;9;0;0;12;7;5;4;1;0;33.8;126098;2.68;44.05;22.07
2011;MD11;méditerranéen;Montego;51;34;17;16;1;5;7;3;4;4;0;3;15;15;0;0;0;2;19;10;9;9;0;0;12;7;5;4;1;0;34.9;131367;2.66;43.34;21.99
2012;LR12;océanique;Aviso;23;19;4;4;0;16;1;1;0;0;0;16;5;4;1;1;0;0;10;8;2;2;0;0;10;8;2;2;0;0;31.22;67847.45;4.6;46.91;21.4
2012;LR12;océanique;Aviso;23;19;4;4;0;16;1;1;0;0;0;16;5;4;1;1;0;0;10;8;2;2;0;0;10;8;2;2;0;0;34.98;69128.9;5.06;46.64;21.31
2012;LR12;océanique;Aviso;23;19;4;4;0;16;1;1;0;0;0;16;5;4;1;1;0;0;10;8;2;2;0;0;10;8;2;2;0;0;32.34;68153.56;4.75;46.26;21.62
2012;LR12;océanique;Aviso;23;19;4;4;0;16;1;1;0;0;0;16;5;4;1;1;0;0;10;8;2;2;0;0;10;8;2;2;0;0;26.94;55531.4;4.85;44.89;22.08
2012;LR12;océanique;Aviso;23;19;4;4;0;16;1;1;0;0;0;16;5;4;1;1;0;0;10;8;2;2;0;0;10;8;2;2;0;0;31.6;64856.41;4.87;45.55;21.7
2012;LR12;océanique;Aviso;23;19;4;4;0;16;1;1;0;0;0;16;5;4;1;1;0;0;10;8;2;2;0;0;10;8;2;2;0;0;25.16;56952.76;4.42;44.79;21.71
2012;LR12;océanique;Aviso;23;19;4;4;0;16;1;1;0;0;0;16;5;4;1;1;0;0;10;8;2;2;0;0;10;8;2;2;0;0;28.35;58876.61;4.82;45.17;22.84
2012;LR12;océanique;Aviso;23;19;4;4;0;16;1;1;0;0;0;16;5;4;1;1;0;0;10;8;2;2;0;0;10;8;2;2;0;0;31.91;69399.33;4.6;45.01;22.43
2012;LR12;océanique;Aviso;23;19;4;4;0;16;1;1;0;0;0;16;5;4;1;1;0;0;10;8;2;2;0;0;10;8;2;2;0;0;26.28;55541.4;4.73;44.91;22.84
2012;LR12;océanique;Aviso;23;19;4;4;0;16;1;1;0;0;0;16;5;4;1;1;0;0;10;8;2;2;0;0;10;8;2;2;0;0;32.78;76421.28;4.29;42.71;23.17
2012;LR12;océanique;Aviso;23;19;4;4;0;16;1;1;0;0;0;16;5;4;1;1;0;0;10;8;2;2;0;0;10;8;2;2;0;0;32.83;70234.5;4.67;44.34;23.07
2012;LR12;océanique;Aviso;23;19;4;4;0;16;1;1;0;0;0;16;5;4;1;1;0;0;10;8;2;2;0;0;10;8;2;2;0;0;26.26;59359.76;4.42;42.8;24.25
2012;LR12;océanique;Montego;28;24;4;4;0;18;5;5;0;0;0;18;2;2;0;0;0;0;11;9;2;2;0;0;10;8;2;2;0;0;40.12;95067.14;4.22;47.16;21.71
2012;LR12;océanique;Montego;28;24;4;4;0;18;5;5;0;0;0;18;2;2;0;0;0;0;11;9;2;2;0;0;10;8;2;2;0;0;43.02;96205.64;4.47;49.68;20.15
2012;LR12;océanique;Montego;28;24;4;4;0;18;5;5;0;0;0;18;2;2;0;0;0;0;11;9;2;2;0;0;10;8;2;2;0;0;39.58;90141.78;4.39;49.54;20.64
2012;LR12;océanique;Montego;28;24;4;4;0;18;5;5;0;0;0;18;2;2;0;0;0;0;11;9;2;2;0;0;10;8;2;2;0;0;33.35;76851.13;4.34;47.63;22.12
2012;LR12;océanique;Montego;28;24;4;4;0;18;5;5;0;0;0;18;2;2;0;0;0;0;11;9;2;2;0;0;10;8;2;2;0;0;34.62;81840.22;4.23;49.15;20.31
2012;LR12;océanique;Montego;28;24;4;4;0;18;5;5;0;0;0;18;2;2;0;0;0;0;11;9;2;2;0;0;10;8;2;2;0;0;33.99;74565.74;4.56;49.76;20.01
2012;LR12;océanique;Montego;28;24;4;4;0;18;5;5;0;0;0;18;2;2;0;0;0;0;11;9;2;2;0;0;10;8;2;2;0;0;34.46;81925.19;4.21;47.86;21.82
2012;LR12;océanique;Montego;28;24;4;4;0;18;5;5;0;0;0;18;2;2;0;0;0;0;11;9;2;2;0;0;10;8;2;2;0;0;29.27;66568.32;4.4;46.68;22.48
2012;LR12;océanique;Montego;28;24;4;4;0;18;5;5;0;0;0;18;2;2;0;0;0;0;11;9;2;2;0;0;10;8;2;2;0;0;45.16;103089.87;4.38;47.93;21.25
2012;LR12;océanique;Montego;28;24;4;4;0;18;5;5;0;0;0;18;2;2;0;0;0;0;11;9;2;2;0;0;10;8;2;2;0;0;35.49;83178.84;4.27;47.97;21.29
2012;LR12;océanique;Montego;28;24;4;4;0;18;5;5;0;0;0;18;2;2;0;0;0;0;11;9;2;2;0;0;10;8;2;2;0;0;35.33;84373.37;4.19;46.82;22.74
2012;LR12;océanique;Montego;28;24;4;4;0;18;5;5;0;0;0;18;2;2;0;0;0;0;11;9;2;2;0;0;10;8;2;2;0;0;32.9;63619.97;5.17;46.11;22.82
2013;LR13;océanique;Aviso;29;19;10;8;2;8;6;6;0;0;0;7;1;1;0;0;0;1;8;6;2;2;0;0;16;8;8;6;2;0;29.17;55434.18;5.26;49.23;18.5
