trial;date;temp_moy;tem_min;temp_max;precip_day;ETP_day;rayon_day
LR11;01/08/2010;17.1;13.4;20.8;6.6;1.3;684.5
LR11;02/08/2010;17.7;15.8;20.7;1;3.1;1496.2
LR11;03/08/2010;18;12.4;23.4;1;3.3;1548.7
LR11;04/08/2010;17.1;15.4;20.6;7.6;2.6;1015.6
LR11;05/08/2010;16.5;12.6;21;0;4.5;2375.9
LR11;06/08/2010;17.7;12.1;22.4;0;3.9;2036.3
LR11;07/08/2010;18;15.1;20.7;1.4;1.4;693.8
LR11;08/08/2010;17.9;13.1;22.4;0.1;3;1401.6
LR11;09/08/2010;18.9;13.6;24.6;0.2;4.5;2286.9
LR11;10/08/2010;18.1;13.8;21.9;3.9;1.5;713.2
LR11;11/08/2010;18.5;16.6;22.7;0.1;3.9;1893
LR11;12/08/2010;16.8;14;21.2;0;4.3;2256.3
LR11;13/08/2010;15.5;11.4;20.2;0.1;3.8;2162
LR11;14/08/2010;13.6;10.7;14.8;11.5;1;726.5
LR11;15/08/2010;16.3;12.8;20.2;0.8;1.8;1084.5
LR11;16/08/2010;17.8;13.2;24.1;0.1;4.4;2012.4
LR11;17/08/2010;15.9;13.4;17.6;0.5;1.2;616.3
LR11;18/08/2010;16.7;12.1;20.7;0;4.5;2554.3
LR11;19/08/2010;17.3;9.6;24.1;0;2.4;1075.7
LR11;20/08/2010;19.7;15.2;22.9;0;2;936.3
LR11;21/08/2010;21.7;19.1;25.2;0.2;2.2;921.6
LR11;22/08/2010;19.9;16;24.6;2;3.2;1729.1
LR11;23/08/2010;19;18.1;23;0.5;3.1;1296.1
LR11;24/08/2010;16.5;10.6;20.8;0.1;3.4;1934.5
LR11;25/08/2010;17.6;14.4;20.4;2.3;1.3;610.7
LR11;26/08/2010;20.1;19.7;21.6;4.2;2.2;1108.3
LR11;27/08/2010;16.8;15.9;18.9;1.7;1.6;828
LR11;28/08/2010;14.7;9.8;19.8;0.2;3.7;1947.8
LR11;29/08/2010;15.3;10.4;22.7;0.1;3.7;1654.3
LR11;30/08/2010;14.2;9.1;21;0;4.6;2369.5
LR11;31/08/2010;15.2;7;23;0;4.6;2254.5
LR11;01/09/2010;17;10.4;23.8;0;5;2224
LR11;02/09/2010;18.6;11.2;26.4;0;5.2;2335.6
LR11;03/09/2010;18.8;11;27.1;0;4.7;2063.5
LR11;04/09/2010;20;11.6;27.8;0;3.9;1773.7
LR11;05/09/2010;21.1;15.3;27.4;0;4.1;1420.3
LR11;06/09/2010;17.3;14.1;21.3;1.8;2.1;880.9
LR11;07/09/2010;15.5;11.8;21.9;15.3;2.6;1309.6
LR11;08/09/2010;15.4;11.6;21.1;4.7;3.4;1676.2
LR11;09/09/2010;16.1;12;22.2;0.5;2.8;1424.1
LR11;10/09/2010;16;10.3;22.9;0;3.3;1784
LR11;11/09/2010;17.9;12.9;23.2;0.8;2.9;1370.8
LR11;12/09/2010;15.6;11.9;21.2;0;3.7;1748.2
LR11;13/09/2010;14.9;8.8;19.4;0;2.4;1385.1
LR11;14/09/2010;16.6;12;21.4;0.5;3.2;1531
LR11;15/09/2010;15.5;14;18.3;2.9;2.3;1112.2
LR11;16/09/2010;14.4;11.7;18.6;0.2;2.2;1106.7
LR11;17/09/2010;12.6;9.5;18.4;0;2.9;1532
LR11;18/09/2010;11.6;4.7;18.8;0;2;1110.2
LR11;19/09/2010;12.4;4.9;21.2;0;3.4;1797.1
LR11;20/09/2010;13.5;5.8;22.1;0;3.3;1898.6
LR11;21/09/2010;15.3;7.5;24.6;0;3.9;1798.7
LR11;22/09/2010;17.1;9;26.9;0.1;3.6;1446.9
LR11;23/09/2010;15.9;13.7;20.3;7.4;1.8;814.9
LR11;24/09/2010;13.8;10.7;18.2;0.8;2;1056.3
LR11;25/09/2010;10.9;10.7;13.9;0;2.3;801.8
LR11;26/09/2010;8.8;3.8;14.7;0;2;1104.2
LR11;27/09/2010;11.9;6.8;16.4;0;1.2;393.3
LR11;28/09/2010;12.9;6.6;20.1;0;2.4;1332.6
LR11;29/09/2010;13;9;17.3;8;0.9;368.8
LR11;30/09/2010;11.7;6.8;15.6;2.4;1.1;931.9
LR11;01/10/2010;15.3;12.7;17.1;17.7;0.5;210.6
LR11;02/10/2010;17.2;16.4;18.9;9.2;1.5;539
LR11;03/10/2010;15.6;15.4;15.8;15.1;1;492.9
LR11;04/10/2010;14.6;14.1;16.4;9.2;0.8;219
LR11;05/10/2010;15.7;12.3;17.1;18.1;0.2;159.8
LR11;06/10/2010;14.5;14.3;17.2;0.2;1.7;917.9
