year;genotype;local;date_sowing;date_flowering;date_harvest;seed_yield;seed_number;PMG;lipid_content;protein_content
2011;Aviso;LR11;14/09/2010;30/03/2011;01/07/2011;40.40;95386.00;4.23;51.40;16.40
2011;Aviso;LR11;14/09/2010;30/03/2011;01/07/2011;37.80;84953.00;4.45;50.80;17.90
2011;Aviso;LR11;14/09/2010;30/03/2011;01/07/2011;41.00;92816.00;4.42;51.10;17.70
2011;Montego;LR11;14/09/2010;26/03/2011;01/07/2011;55.10;140813.00;3.91;51.80;17.10
2011;Montego;LR11;14/09/2010;26/03/2011;01/07/2011;39.10;96437.00;4.05;52.10;16.70
2011;Montego;LR11;14/09/2010;26/03/2011;01/07/2011;43.40;101070.00;4.29;51.70;17.40
2011;Aviso;MD11;08/09/2010;25/03/2011;09/06/2011;25.60;84213.00;3.04;42.29;23.54
2011;Aviso;MD11;08/09/2010;25/03/2011;09/06/2011;27.00;93070.00;2.90;41.79;23.83
2011;Aviso;MD11;08/09/2010;25/03/2011;09/06/2011;28.50;113687.00;2.51;40.64;24.60
2011;Aviso;MD11;08/09/2010;25/03/2011;09/06/2011;26.40;87849.00;3.00;41.96;23.17
2011;Aviso;MD11;08/09/2010;25/03/2011;09/06/2011;28.10;97586.00;2.87;42.01;22.94
2011;Aviso;MD11;08/09/2010;25/03/2011;09/06/2011;25.30;83573.00;3.03;42.77;22.99
2011;Montego;MD11;08/09/2010;21/03/2011;09/06/2011;29.30;104919.00;2.79;43.50;22.69
2011;Montego;MD11;08/09/2010;21/03/2011;09/06/2011;31.20;108616.00;2.87;42.27;24.07
2011;Montego;MD11;08/09/2010;21/03/2011;09/06/2011;34.10;123339.00;2.77;44.15;22.04
2011;Montego;MD11;08/09/2010;21/03/2011;09/06/2011;26.20;100106.00;2.61;41.43;25.23
2011;Montego;MD11;08/09/2010;21/03/2011;09/06/2011;33.80;126098.00;2.68;44.05;22.07
2011;Montego;MD11;08/09/2010;21/03/2011;09/06/2011;34.90;131367.00;2.66;43.34;21.99
2012;Aviso;LR12;14/09/2011;30/03/2012;16/07/2012;31.22;67847.45;4.60;46.91;21.40
2012;Aviso;LR12;14/09/2011;30/03/2012;16/07/2012;34.98;69128.90;5.06;46.64;21.31
2012;Aviso;LR12;14/09/2011;30/03/2012;16/07/2012;32.34;68153.56;4.75;46.26;21.62
2012;Aviso;LR12;14/09/2011;30/03/2012;16/07/2012;26.94;55531.40;4.85;44.89;22.08
2012;Aviso;LR12;14/09/2011;30/03/2012;16/07/2012;31.60;64856.41;4.87;45.55;21.70
2012;Aviso;LR12;14/09/2011;30/03/2012;16/07/2012;25.16;56952.76;4.42;44.79;21.71
2012;Aviso;LR12;14/09/2011;30/03/2012;16/07/2012;28.35;58876.61;4.82;45.17;22.84
2012;Aviso;LR12;14/09/2011;30/03/2012;16/07/2012;31.91;69399.33;4.60;45.01;22.43
2012;Aviso;LR12;14/09/2011;30/03/2012;16/07/2012;26.28;55541.40;4.73;44.91;22.84
2012;Aviso;LR12;14/09/2011;30/03/2012;16/07/2012;32.78;76421.28;4.29;42.71;23.17
2012;Aviso;LR12;14/09/2011;30/03/2012;16/07/2012;32.83;70234.50;4.67;44.34;23.07
2012;Aviso;LR12;14/09/2011;30/03/2012;16/07/2012;26.26;59359.76;4.42;42.80;24.25
2012;Montego;LR12;14/09/2011;25/03/2012;16/07/2012;40.12;95067.14;4.22;47.16;21.71
2012;Montego;LR12;14/09/2011;25/03/2012;16/07/2012;43.02;96205.64;4.47;49.68;20.15
2012;Montego;LR12;14/09/2011;25/03/2012;16/07/2012;39.58;90141.78;4.39;49.54;20.64
2012;Montego;LR12;14/09/2011;25/03/2012;16/07/2012;33.35;76851.13;4.34;47.63;22.12
2012;Montego;LR12;14/09/2011;25/03/2012;16/07/2012;34.62;81840.22;4.23;49.15;20.31
2012;Montego;LR12;14/09/2011;25/03/2012;16/07/2012;33.99;74565.74;4.56;49.76;20.01
2012;Montego;LR12;14/09/2011;25/03/2012;16/07/2012;34.46;81925.19;4.21;47.86;21.82
2012;Montego;LR12;14/09/2011;25/03/2012;16/07/2012;29.27;66568.32;4.40;46.68;22.48
2012;Montego;LR12;14/09/2011;25/03/2012;16/07/2012;45.16;103089.87;4.38;47.93;21.25
2012;Montego;LR12;14/09/2011;25/03/2012;16/07/2012;35.49;83178.84;4.27;47.97;21.29
2012;Montego;LR12;14/09/2011;25/03/2012;16/07/2012;35.33;84373.37;4.19;46.82;22.74
2012;Montego;LR12;14/09/2011;25/03/2012;16/07/2012;32.90;63619.97;5.17;46.11;22.82
2013;Aviso;LR13;05/09/2012;11/04/2013;15/07/2013;29.17;55434.18;5.26;49.23;18.50
2013;Aviso;LR13;05/09/2012;11/04/2013;15/07/2013;31.46;58085.01;5.42;47.23;20.01
2013;Aviso;LR13;05/09/2012;11/04/2013;15/07/2013;33.99;63651.76;5.34;47.71;20.52
2013;Aviso;LR13;05/09/2012;11/04/2013;15/07/2013;31.92;57438.91;5.56;48.38;19.29
2013;Aviso;LR13;05/09/2012;11/04/2013;15/07/2013;33.92;63201.48;5.37;48.82;19.33
2013;Aviso;LR13;05/09/2012;11/04/2013;15/07/2013;32.65;60579.25;5.39;47.15;19.83
2013;Aviso;LR13;05/09/2012;11/04/2013;15/07/2013;30.84;62286.49;4.95;48.06;18.87
2013;Aviso;LR13;05/09/2012;11/04/2013;15/07/2013;34.10;64338.34;5.30;48.08;19.62
2013;Aviso;LR13;05/09/2012;11/04/2013;15/07/2013;33.46;62343.64;5.37;47.06;20.88
2013;Aviso;LR13;05/09/2012;11/04/2013;15/07/2013;29.84;55241.58;5.40;46.65;20.69
2013;Aviso;LR13;05/09/2012;11/04/2013;15/07/2013;33.34;62237.66;5.36;48.55;19.38
2013;Aviso;LR13;05/09/2012;11/04/2013;15/07/2013;30.86;67559.34;4.57;49.72;18.35
2013;Montego;LR13;05/09/2012;30/03/2013;15/07/2013;36.71;86886.53;4.23;50.53;18.39
2013;Montego;LR13;05/09/2012;30/03/2013;15/07/2013;33.88;79019.61;4.29;51.39;18.55
2013;Montego;LR13;05/09/2012;30/03/2013;15/07/2013;33.51;76857.78;4.36;50.80;18.50
2013;Montego;LR13;05/09/2012;30/03/2013;15/07/2013;35.49;80474.21;4.41;50.53;19.09
2013;Montego;LR13;05/09/2012;30/03/2013;15/07/2013;31.00;68382.61;4.53;48.66;20.84
2013;Montego;LR13;05/09/2012;30/03/2013;15/07/2013;36.67;82853.57;4.43;50.58;18.64
2013;Montego;LR13;05/09/2012;30/03/2013;15/07/2013;37.88;87149.48;4.35;50.60;19.05
2013;Montego;LR13;05/09/2012;30/03/2013;15/07/2013;35.22;83195.95;4.23;50.19;18.53
2013;Montego;LR13;05/09/2012;30/03/2013;15/07/2013;37.45;86172.67;4.35;50.48;19.35
2013;Montego;LR13;05/09/2012;30/03/2013;15/07/2013;35.00;81681.59;4.28;49.92;19.40
2013;Montego;LR13;05/09/2012;30/03/2013;15/07/2013;41.57;95678.69;4.34;50.32;19.63
2013;Montego;LR13;05/09/2012;30/03/2013;15/07/2013;27.48;69542.15;3.95;51.20;19.01
2014;Aviso;CH14;03/09/2013;28/03/2014;02/07/2014;26.27;59702.00;4.40;48.40;18.60
2014;Aviso;CH14;03/09/2013;28/03/2014;02/07/2014;32.70;66736.00;4.90;48.60;18.80
2014;Montego;CH14;03/09/2013;19/03/2014;02/07/2014;28.60;66511.00;4.30;50.90;17.70
2014;Montego;CH14;03/09/2013;19/03/2014;02/07/2014;30.12;68452.00;4.40;49.80;18.30
2014;Aviso;PRE14;05/09/2013;04/04/2014;01/08/2014;25.57;54414.00;4.70;50.20;20.90
2014;Aviso;PRE14;05/09/2013;04/04/2014;01/08/2014;21.13;45935.00;4.60;49.30;21.30
2014;Montego;PRE14;05/09/2013;02/04/2014;01/08/2014;27.80;NA;NA;NA;NA
2014;Montego;PRE14;05/09/2013;02/04/2014;01/08/2014;23.03;56178.00;4.10;49.50;21.90
2014;Aviso;SEL14;04/09/2013;04/04/2014;17/07/2014;38.28;NA;NA;49.29;40.30
2014;Aviso;SEL14;04/09/2013;04/04/2014;17/07/2014;37.26;64908.00;5.74;50.10;40.70
2014;Montego;SEL14;04/09/2013;31/03/2014;17/07/2014;32.37;70378.00;4.60;49.75;38.80
2014;Montego;SEL14;04/09/2013;31/03/2014;17/07/2014;29.57;68768.00;4.30;50.05;37.90
2014;Aviso;VER14;04/09/2013;04/04/2014;18/07/2014;34.87;72656.00;4.80;46.50;14.40
2014;Aviso;VER14;04/09/2013;04/04/2014;18/07/2014;32.86;69911.00;4.70;46.50;14.20
2014;Montego;VER14;04/09/2013;02/04/2014;18/07/2014;36.69;85328.00;4.30;47.00;14.10
2014;Montego;VER14;04/09/2013;02/04/2014;18/07/2014;38.21;84917.00;4.50;47.20;14.00
2015;Aviso;LR15;10/09/2014;07/04/2015;01/07/2015;30.74;60637.66;5.07;49.60;17.70
2015;Aviso;LR15;10/09/2014;07/04/2015;01/07/2015;28.73;55979.77;5.13;47.70;19.20
2015;Aviso;LR15;10/09/2014;07/04/2015;01/07/2015;34.60;70585.90;4.90;48.90;18.50
2015;Aviso;LR15;10/09/2014;07/04/2015;01/07/2015;37.08;71039.16;5.22;49.40;18.90
2015;Aviso;LR15;10/09/2014;07/04/2015;01/07/2015;28.26;57781.11;4.89;50.60;17.20
2015;Aviso;LR15;10/09/2014;07/04/2015;01/07/2015;28.58;53466.33;5.34;49.50;18.20
2015;Montego;LR15;10/09/2014;03/04/2015;01/07/2015;30.35;69210.51;4.39;52.00;17.80
2015;Montego;LR15;10/09/2014;03/04/2015;01/07/2015;35.39;77977.39;4.54;51.20;17.50
2015;Montego;LR15;10/09/2014;03/04/2015;01/07/2015;30.96;66562.99;4.65;52.30;17.40
2015;Aviso;MD15;02/09/2014;30/03/2015;27/06/2015;31.26;74600.18;4.19;49.19;18.32
2015;Aviso;MD15;02/09/2014;30/03/2015;27/06/2015;34.05;83053.58;4.10;50.17;17.56
2015;Montego;MD15;02/09/2014;29/03/2015;27/06/2015;24.03;58745.34;4.09;49.87;18.81
2015;Montego;MD15;02/09/2014;29/03/2015;27/06/2015;27.57;64569.51;4.27;49.83;19.25
2015;Aviso;PRE15;10/09/2014;17/04/2015;23/07/2015;40.69;78252.76;5.20;48.70;19.80
2015;Aviso;PRE15;10/09/2014;17/04/2015;23/07/2015;44.24;85069.44;5.20;50.60;18.80
2015;Montego;PRE15;10/09/2014;14/04/2015;23/07/2015;36.79;79974.15;4.60;50.10;19.10
2015;Montego;PRE15;10/09/2014;14/04/2015;23/07/2015;38.95;84674.43;4.60;51.50;18.10
2015;Aviso;SEL15;09/09/2014;12/04/2015;06/07/2015;30.07;NA;NA;48.03;19.87
2015;Aviso;SEL15;09/09/2014;12/04/2015;06/07/2015;31.74;NA;NA;50.03;18.11
2015;Montego;SEL15;09/09/2014;09/04/2015;06/07/2015;20.76;NA;NA;52.97;16.72
2015;Montego;SEL15;09/09/2014;09/04/2015;06/07/2015;27.19;NA;NA;50.99;18.85
2015;Aviso;VER15;02/09/2014;14/04/2015;27/07/2015;37.59;NA;NA;44.70;15.60
2015;Aviso;VER15;02/09/2014;14/04/2015;27/07/2015;35.16;74813.62;4.70;46.20;14.00
2015;Montego;VER15;02/09/2014;14/04/2015;27/07/2015;35.74;NA;NA;47.00;14.90
2015;Montego;VER15;02/09/2014;14/04/2015;27/07/2015;35.45;86463.44;4.10;47.20;14.30
2015;Aviso;YEB15;02/09/2014;14/04/2015;19/07/2015;36.50;78502.23;4.65;49.32;18.35
2015;Aviso;YEB15;02/09/2014;14/04/2015;19/07/2015;39.07;84931.77;4.60;49.91;18.17
2015;Montego;YEB15;02/09/2014;14/04/2015;19/07/2015;37.36;90023.48;4.15;48.91;19.75
2015;Montego;YEB15;02/09/2014;14/04/2015;19/07/2015;39.67;95356.60;4.16;49.03;19.25
2016;Aviso;LR16;09/09/2015;05/04/2016;11/07/2016;33.11;67852.55;4.88;47.10;20.80
2016;Aviso;LR16;09/09/2015;05/04/2016;11/07/2016;35.66;74655.25;4.78;47.60;20.40
2016;Aviso;LR16;09/09/2015;05/04/2016;11/07/2016;30.48;61721.68;4.94;48.00;20.50
2016;Aviso;LR16;09/09/2015;05/04/2016;11/07/2016;38.45;81242.21;4.73;48.60;19.90
2016;Aviso;LR16;09/09/2015;05/04/2016;11/07/2016;34.79;70960.70;4.90;47.20;19.70
2016;Aviso;LR16;09/09/2015;05/04/2016;11/07/2016;34.15;72108.91;4.74;48.70;18.50
2016;Aviso;LR16;09/09/2015;05/04/2016;11/07/2016;32.99;71166.68;4.64;47.50;20.40
2016;Aviso;LR16;09/09/2015;05/04/2016;11/07/2016;28.32;59897.04;4.73;46.40;21.00
2016;Montego;LR16;09/09/2015;22/03/2016;11/07/2016;30.52;71520.42;4.27;50.30;19.10
2016;Montego;LR16;09/09/2015;22/03/2016;11/07/2016;29.27;71174.40;4.11;50.20;19.40
2016;Montego;LR16;09/09/2015;22/03/2016;11/07/2016;31.48;76574.40;4.11;50.50;18.50
2016;Montego;LR16;09/09/2015;22/03/2016;11/07/2016;34.09;84833.26;4.02;49.70;19.20
2016;Montego;LR16;09/09/2015;22/03/2016;11/07/2016;32.89;83686.27;3.93;49.80;19.00
2016;Montego;LR16;09/09/2015;22/03/2016;11/07/2016;33.04;77906.26;4.24;50.50;18.80
2016;Montego;LR16;09/09/2015;22/03/2016;11/07/2016;33.55;78856.70;4.25;49.60;19.00
2016;Montego;LR16;09/09/2015;22/03/2016;11/07/2016;30.52;69037.10;4.42;49.20;19.30
2016;Montego;LR16;09/09/2015;22/03/2016;11/07/2016;32.23;77660.05;4.15;50.10;17.70
2016;Montego;LR16;09/09/2015;22/03/2016;11/07/2016;31.06;74427.24;4.17;50.20;18.90
2017;Alpaga;AU217;20/09/2016;18/03/2017;27/06/2017;39.08;NA;NA;51.80;16.40
2017;Alpaga;AU217;20/09/2016;18/03/2017;27/06/2017;46.27;NA;NA;49.94;18.20
2017;Alpaga;AU217;20/09/2016;18/03/2017;27/06/2017;39.10;NA;NA;50.60;17.50
