indiv;ref;climate;genotype;Ptot_25;Ptot_30;P300_25;P300_30;P600_25;P600_30;P1000_25;P1000_30;harvest_25;harvest_30;seed_yield;seed_nb;PMG;lipids;proteins
1;LR11;océanique;Aviso;6;2;0;0;1;0;2;0;3;2;40,4;95386;4,23;51,4;16,4
2;LR11;océanique;Aviso;6;2;0;0;1;0;2;0;3;2;37,8;84953;4,45;50,8;17,9
3;LR11;océanique;Aviso;6;2;0;0;1;0;2;0;3;2;41;92816;4,42;51,1;17,7
4;LR11;océanique;Montego;6;2;0;0;1;0;2;0;3;2;55,1;140813;3,91;51,8;17,1
5;LR11;océanique;Montego;6;2;0;0;1;0;2;0;3;2;39,1;96437;4,05;52,1;16,7
6;LR11;océanique;Montego;6;2;0;0;1;0;2;0;3;2;43,4;101070;4,29;51,7;17,4
7;MD11;méditerranéen;Aviso;17;1;4;0;0;0;11;1;3;1;25,6;84213;3,04;42,29;23,54
8;MD11;méditerranéen;Aviso;17;1;4;0;0;0;11;1;3;1;27;93070;2,9;41,79;23,83
9;MD11;méditerranéen;Aviso;17;1;4;0;0;0;11;1;3;1;28,5;113687;2,51;40,64;24,6
10;MD11;méditerranéen;Aviso;17;1;4;0;0;0;11;1;3;1;26,4;87849;3;41,96;23,17
11;MD11;méditerranéen;Aviso;17;1;4;0;0;0;11;1;3;1;28,1;97586;2,87;42,01;22,94
12;MD11;méditerranéen;Aviso;17;1;4;0;0;0;11;1;3;1;25,3;83573;3,03;42,77;22,99
13;MD11;méditerranéen;Montego;17;1;4;0;0;0;9;0;5;1;29,3;104919;2,79;43,5;22,69
14;MD11;méditerranéen;Montego;17;1;4;0;0;0;9;0;5;1;31,2;108616;2,87;42,27;24,07
15;MD11;méditerranéen;Montego;17;1;4;0;0;0;9;0;5;1;34,1;123339;2,77;44,15;22,04
16;MD11;méditerranéen;Montego;17;1;4;0;0;0;9;0;5;1;26,2;100106;2,61;41,43;25,23
17;MD11;méditerranéen;Montego;17;1;4;0;0;0;9;0;5;1;33,8;126098;2,68;44,05;22,07
18;MD11;méditerranéen;Montego;17;1;4;0;0;0;9;0;5;1;34,9;131367;2,66;43,34;21,99
19;LR12;océanique;Aviso;4;0;0;0;1;0;2;0;2;0;31,22;67847;4,6;46,91;21,4
20;LR12;océanique;Aviso;4;0;0;0;1;0;2;0;2;0;34,98;69129;5,06;46,64;21,31
21;LR12;océanique;Aviso;4;0;0;0;1;0;2;0;2;0;32,34;68154;4,75;46,26;21,62
22;LR12;océanique;Aviso;4;0;0;0;1;0;2;0;2;0;26,94;55531;4,85;44,89;22,08
23;LR12;océanique;Aviso;4;0;0;0;1;0;2;0;2;0;31,6;64856;4,87;45,55;21,7
24;LR12;océanique;Aviso;4;0;0;0;1;0;2;0;2;0;25,16;56953;4,42;44,79;21,71
25;LR12;océanique;Aviso;4;0;0;0;1;0;2;0;2;0;28,35;58877;4,82;45,17;22,84
26;LR12;océanique;Aviso;4;0;0;0;1;0;2;0;2;0;31,91;69399;4,6;45,01;22,43
27;LR12;océanique;Aviso;4;0;0;0;1;0;2;0;2;0;26,28;55541;4,73;44,91;22,84
28;LR12;océanique;Aviso;4;0;0;0;1;0;2;0;2;0;32,78;76421;4,29;42,71;23,17
29;LR12;océanique;Aviso;4;0;0;0;1;0;2;0;2;0;32,83;70235;4,67;44,34;23,07
30;LR12;océanique;Aviso;4;0;0;0;1;0;2;0;2;0;26,26;59360;4,42;42,8;24,25
31;LR12;océanique;Montego;4;0;0;0;0;0;2;0;2;0;40,12;95067;4,22;47,16;21,71
32;LR12;océanique;Montego;4;0;0;0;0;0;2;0;2;0;43,02;96206;4,47;49,68;20,15
33;LR12;océanique;Montego;4;0;0;0;0;0;2;0;2;0;39,58;90142;4,39;49,54;20,64
34;LR12;océanique;Montego;4;0;0;0;0;0;2;0;2;0;33,35;76851;4,34;47,63;22,12
