@relation DB

@attribute dim0 {1}
@attribute dim1 {2}
@attribute class {"0"}

@data
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
1,2,"0"
