,climate,genotype,Ptot_25,Ptot_30,P300_25,P600_25,P1000_25,P1000_30,harvest_25,harvest_30,seed_yield,seed_nb,PMG,lipids,proteins
1,2,0,6.0,2.0,0.0,1.0,2.0,0.0,3.0,2.0,40.4,95386.0,4.23,51.4,16.4
2,2,0,6.0,2.0,0.0,1.0,2.0,0.0,3.0,2.0,37.8,84953.0,4.45,50.8,17.9
3,2,0,6.0,2.0,0.0,1.0,2.0,0.0,3.0,2.0,41.0,92816.0,4.42,51.1,17.7
4,2,1,6.0,2.0,0.0,1.0,2.0,0.0,3.0,2.0,55.1,140813.0,3.91,51.8,17.1
5,2,1,6.0,2.0,0.0,1.0,2.0,0.0,3.0,2.0,39.1,96437.0,4.05,52.1,16.7
6,2,1,6.0,2.0,0.0,1.0,2.0,0.0,3.0,2.0,43.4,101070.0,4.29,51.7,17.4
7,0,0,17.0,1.0,4.0,0.0,11.0,1.0,3.0,1.0,25.6,84213.0,3.04,42.29,23.54
8,0,0,17.0,1.0,4.0,0.0,11.0,1.0,3.0,1.0,27.0,93070.0,2.9,41.79,23.83
9,0,0,17.0,1.0,4.0,0.0,11.0,1.0,3.0,1.0,28.5,113687.0,2.51,40.64,24.6
10,0,0,17.0,1.0,4.0,0.0,11.0,1.0,3.0,1.0,26.4,87849.0,3.0,41.96,23.17
11,0,0,17.0,1.0,4.0,0.0,11.0,1.0,3.0,1.0,28.1,97586.0,2.87,42.01,22.94
12,0,0,17.0,1.0,4.0,0.0,11.0,1.0,3.0,1.0,25.3,83573.0,3.03,42.77,22.99
13,0,1,17.0,1.0,4.0,0.0,9.0,0.0,5.0,1.0,29.3,104919.0,2.79,43.5,22.69
14,0,1,17.0,1.0,4.0,0.0,9.0,0.0,5.0,1.0,31.2,108616.0,2.87,42.27,24.07
15,0,1,17.0,1.0,4.0,0.0,9.0,0.0,5.0,1.0,34.1,123339.0,2.77,44.15,22.04
16,0,1,17.0,1.0,4.0,0.0,9.0,0.0,5.0,1.0,26.2,100106.0,2.61,41.43,25.23
17,0,1,17.0,1.0,4.0,0.0,9.0,0.0,5.0,1.0,33.8,126098.0,2.68,44.05,22.07
18,0,1,17.0,1.0,4.0,0.0,9.0,0.0,5.0,1.0,34.9,131367.0,2.66,43.34,21.99
19,2,0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,31.22,67847.0,4.6,46.91,21.4
20,2,0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,34.98,69129.0,5.06,46.64,21.31
21,2,0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,32.34,68154.0,4.75,46.26,21.62
22,2,0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,26.94,55531.0,4.85,44.89,22.08
23,2,0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,31.6,64856.0,4.87,45.55,21.7
24,2,0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,25.16,56953.0,4.42,44.79,21.71
25,2,0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,28.35,58877.0,4.82,45.17,22.84
26,2,0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,31.91,69399.0,4.6,45.01,22.43
27,2,0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,26.28,55541.0,4.73,44.91,22.84
28,2,0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,32.78,76421.0,4.29,42.71,23.17
29,2,0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,32.83,70235.0,4.67,44.34,23.07
30,2,0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,26.26,59360.0,4.42,42.8,24.25
31,2,1,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,40.12,95067.0,4.22,47.16,21.71
32,2,1,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,43.02,96206.0,4.47,49.68,20.15
