# Database file name:              C:/Users/USER/Documents/TRAVAIL/3A/stage3a/codes_sources/coron-0.8/rapsodynCoron_v1.rcf
# Database file size:              12,911 bytes
# Number of lines:                 170
# Total number of attributes:      33
# Number of non empty attributes:  33
# Number of attributes in average: 14,4
# Density:                         43,64 %
# min_supp:                        51, i.e. 30 %
# min_conf:                        60 %
# Chosen algorithm:                Close
# Rules to extract:                closed association rules

{8, 10, 16, 18, 20, 22} => {4} (supp=55 [32.35%]; conf=1.000 [100.00%]; suppL=55 [32.35%]; suppR=107 [62.94%]; class=FF)
{4, 10, 16, 18, 20, 22} => {8} (supp=55 [32.35%]; conf=1.000 [100.00%]; suppL=55 [32.35%]; suppR=89 [52.35%]; class=FF)
{4, 8, 16, 18, 20, 22} => {10} (supp=55 [32.35%]; conf=1.000 [100.00%]; suppL=55 [32.35%]; suppR=97 [57.06%]; class=FF)
{4, 8, 10, 18, 20, 22} => {16} (supp=55 [32.35%]; conf=1.000 [100.00%]; suppL=55 [32.35%]; suppR=111 [65.29%]; class=FF)
{4, 8, 10, 16, 20, 22} => {18} (supp=55 [32.35%]; conf=1.000 [100.00%]; suppL=55 [32.35%]; suppR=148 [87.06%]; class=FF)
{4, 8, 10, 16, 18, 22} => {20} (supp=55 [32.35%]; conf=0.932 [93.22%]; suppL=59 [34.71%]; suppR=101 [59.41%]; class=FF)
{4, 8, 10, 16, 18, 20} => {22} (supp=55 [32.35%]; conf=1.000 [100.00%]; suppL=55 [32.35%]; suppR=97 [57.06%]; class=FF)
{10, 16, 18, 20, 22} => {4, 8} (supp=55 [32.35%]; conf=1.000 [100.00%]; suppL=55 [32.35%]; suppR=89 [52.35%]; class=FF)
{8, 16, 18, 20, 22} => {4, 10} (supp=55 [32.35%]; conf=1.000 [100.00%]; suppL=55 [32.35%]; suppR=65 [38.24%]; class=FF)
{8, 10, 18, 20, 22} => {4, 16} (supp=55 [32.35%]; conf=1.000 [100.00%]; suppL=55 [32.35%]; suppR=95 [55.88%]; class=FF)
{8, 10, 16, 20, 22} => {4, 18} (supp=55 [32.35%]; conf=1.000 [100.00%]; suppL=55 [32.35%]; suppR=99 [58.24%]; class=FF)
